bound_scope,change_error_pp,method,observed_change,observed_target,operation,predicted_change,predicted_change_lower,predicted_change_upper,probability,reason,source_campaign_id,source_current_probability,status,target_campaign_id,target_error_pp,target_inputs_used_for_forecast,target_lower,target_upper
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/3,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/3,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,read_home_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,read_user_timeline,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/4,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/4,,False,0,1
